ma_khach_hang,ma_san_pham,so_sao
279,249500027,4
728,200400004,5
1246,422212333,5
4352,422205122,5
1524,249500027,4
649,100230057,5
845,422216990,5
4321,422203807,2
225,249500013,4
1050,422216352,5
1827,204900010,1
2438,308500037,5
2553,204100019,5
184,422208807,5
2403,308500013,5
413,422208973,5
1907,422201374,5
1323,253900004,5
1444,204900004,5
368,205100137,5
1876,422209444,5
2464,308500018,5
1983,249500027,5
2332,308500004,5
3329,422212097,5
2391,308500013,5
2928,422209703,5
214,205100136,5
1954,201600166,5
342,422211489,5
75,200400004,5
1397,422206101,5
2344,422205162,5
211,205100136,5
2036,422207413,1
666,100230064,5
1306,422206042,5
1835,204100054,5
1483,100190059,4
3821,345800013,4
1281,422207413,5
313,422208807,5
182,422208807,5
1213,422217292,4
2315,308500009,5
700,422205160,5
263,205100137,5
877,318900019,5
4356,422216990,3
1177,422215804,4
1857,422201090,5
1982,293500050,5
732,100230056,5
1291,422210047,5
1274,204900024,5
4025,422202216,5
147,422208977,5
1375,422200306,4
788,100230057,5
2321,422205162,5
1268,204900159,5
48,308500004,5
116,422208807,5
3816,422203901,5
688,100230057,5
894,365000019,5
1686,422204167,5
529,201600019,5
347,205100146,5
674,308500013,5
2033,249500019,5
3508,358300003,5
698,100230057,5
2340,422205162,5
796,100230064,5
1715,100220035,5
2271,422208156,3
166,422211447,5
2914,422207283,5
217,204000071,4
2218,249500021,5
1466,204900004,5
3406,422203671,5
398,422208973,5
693,422200236,5
812,422203807,4
230,422213312,5
2461,422205162,5
401,422208976,5
2094,308500004,5
2434,308500015,5
1405,293500043,5
221,422206648,4
395,200400004,5
712,422202253,5
3683,422213312,4
3936,100160021,5
3392,204100024,4
2926,422209719,5
353,422207414,5
157,422215804,5
4257,206700001,4
817,200400004,5
276,422204947,2
3682,422213312,5
807,200400004,5
388,422208976,5
3220,335100004,5
315,205100146,5
709,100230064,5
1663,422216596,5
1031,308500009,5
2928,422209706,5
698,200400004,5
601,204900056,5
711,422205164,5
2354,422205160,5
833,422204028,5
1275,422216603,4
2661,243300007,4
77,345800003,4
1443,204900159,5
347,422211446,5
51,422209322,4
701,422200236,5
1295,253900004,4
950,422204795,5
622,253900005,5
729,100230057,5
46,422209635,4
2547,204100079,5
772,200400003,5
2689,422203776,4
137,422204259,5
2916,204100079,5
2535,204100018,5
2142,422209841,5
225,205100137,4
3501,225300002,5
678,422205164,5
2929,422209720,5
3653,207300009,5
184,249500007,5
2195,308500013,1
1723,100240016,5
1199,249500013,5
1396,422207826,5
3440,204100023,5
2662,422203807,1
692,100230057,5
3643,422219399,5
2251,245500009,5
680,100230057,5
302,422208807,5
2843,318900002,3
2427,308500004,5
292,422204259,5
564,422216416,4
32,422207401,5
682,308500013,5
3203,422206149,3
618,100240016,5
3676,422206042,5
1701,422206648,2
1274,204900009,5
1077,422203146,5
1196,422204947,5
3270,422204775,5
299,422205808,5
4040,365000017,5
1905,100210023,5
1029,308500013,5
2456,308500004,5
3144,217300001,4
3063,224100019,5
287,205100137,5
4438,100210014,5
250,422211446,5
107,422211446,5
682,422205160,5
67,318900011,5
3291,207500008,4
2029,249500019,5
121,422204231,5
2354,308500013,5
348,100220009,5
2206,422207787,5
4434,422209663,3
504,422200306,4
1589,249500019,4
206,422211446,4
390,422208972,5
1573,211300007,5
1439,204900056,5
3259,422205151,5
1435,204900159,5
710,100230059,5
2331,308500009,5
310,205100137,4
4216,422209444,2
2468,422202253,1
686,100230059,5
1961,100230070,1
4091,422207812,5
3337,223600034,5
2848,318900002,3
699,422205160,5
1779,422207283,5
2562,365000011,3
1800,100220035,3
2459,422205163,5
2246,245500010,5
330,205100146,5
612,422203300,5
1963,422214147,5
651,100230056,5
792,304900016,4
285,422206648,5
298,100230059,5
2355,204100054,5
805,308500015,5
2519,204100019,5
1808,422209048,5
328,422208807,5
3050,422206102,5
131,422208807,5
932,422204795,5
1031,422205160,5
792,422210980,5
338,422204259,5
392,422208977,5
109,422206648,5
1271,204900009,4
64,318900012,5
1490,204100019,5
3321,223600009,4
2416,422205162,5
706,308500013,5
3576,422201090,5
2192,422203146,5
3787,204100023,2
3599,225200013,5
2221,422203146,4
2193,249500021,5
55,318900005,5
704,200400003,5
1573,422203776,3
3228,422211446,2
2793,365000017,5
4572,422205163,2
1070,422204910,5
573,422212100,5
694,204100019,5
526,204900013,5
331,422211446,5
2456,308500037,5
3402,422204659,5
769,205100136,2
801,422216594,5
1726,100240016,5
3329,223600010,5
3883,204100018,3
2016,331300023,5
785,200400004,5
2454,308500018,5
3202,345800001,5
2532,422206537,5
1808,422216602,5
648,100230057,5
684,308500018,5
2929,422207794,5
157,249500007,5
707,200400004,5
2330,308500037,5
1465,204900004,2
2093,422211501,5
391,422208973,5
248,205100136,5
77,205100137,5
585,253900006,5
3399,422203671,5
2197,249500021,5
1809,100220037,5
3041,343700002,5
4035,365000018,5
70,249500021,5
1157,422207150,5
4040,365000020,5
771,422216594,5
1884,422216293,5
1614,422208181,5
1102,422207562,5
1571,422214146,5
652,100230059,5
319,422211446,5
2569,308900002,5
4050,422208345,5
494,422205164,5
3228,422204231,5
2734,248700074,5
2544,204100018,5
2758,422211276,5
204,100220009,5
402,422216416,5
266,365000020,5
3968,331300002,5
487,204900013,5
812,200400004,5
3018,343700002,5
2930,422207794,5
208,205100137,5
3240,345800003,5
3647,422206042,5
782,422216594,5
818,100230064,4
342,205100136,5
1062,422220606,5
2392,308500018,5
482,237800005,4
521,204900013,5
2377,422205160,5
1704,100220035,5
1560,211300007,5
1675,207500007,1
2379,308500037,5
2930,422209718,5
2388,422205160,5
2260,245500009,5
342,422204259,5
2419,308500015,5
461,204900013,4
1466,422208181,5
387,422208976,5
2764,422205807,5
158,205100136,5
1267,204900024,5
3401,422209795,5
2187,223600010,4
3854,204900159,2
2475,422211997,5
1522,206400019,5
3664,100220037,5
126,422203510,5
394,422208975,5
3199,345800001,5
437,204900013,5
1616,327500002,5
611,422212100,5
432,422216416,5
3210,422214149,5
1893,422211640,2
1217,422215804,5
552,204900013,3
720,100230059,5
1362,204000071,5
171,422211447,4
2128,422203609,5
1628,422208181,5
4088,422207812,5
479,422216416,2
2883,358300002,5
2539,204100023,5
174,205100146,5
2368,308500004,5
3582,422209724,5
484,422216594,5
676,100230059,5
1079,422205346,5
2187,249500021,4
2020,249500027,5
1620,422208181,5
236,422211447,5
2365,308500037,5
2936,200500293,4
778,100230056,5
548,422216098,5
2355,422205164,5
399,308500013,5
529,204900056,5
3184,345800001,5
847,422215804,5
3240,422209634,4
2683,422203776,5
620,253900006,3
2366,422205164,5
2873,308500001,5
2534,204100018,5
2929,422209707,5
4108,422207812,5
1268,204900009,5
1109,100220037,5
1141,422207812,5
1436,100190059,5
1377,245500001,5
449,422219813,5
1340,253900003,5
2340,422205164,5
2301,100150058,5
3171,204100013,2
2062,213300004,5
3166,365000012,2
660,422203300,3
1102,422204884,5
2411,422205163,5
2369,422206537,5
1157,422209704,5
2387,308500018,5
334,422211446,5
3618,253900002,5
3554,222600052,5
1455,422210784,2
3134,422211489,5
183,422204259,5
919,422204795,5
221,422211446,4
1106,422207562,5
1180,422206035,5
1478,422210784,5
419,225300001,4
2086,422204281,5
3574,422201090,5
409,422216594,5
519,422203302,5
2320,422205162,5
1210,249500013,5
1193,422202580,1
3164,345800001,5
4084,422205162,2
2593,100230069,5
3410,422209052,5
3526,422205819,5
1463,422210784,5
1185,249500007,5
163,205100146,5
782,422206248,1
2951,200500283,5
1408,422207629,5
1807,422219308,5
849,211300007,5
128,422206248,4
358,256700007,5
780,422205163,5
645,100230056,5
140,422216449,5
815,100230059,5
3168,222600052,5
2314,308500018,5
792,345800007,5
724,100230059,5
140,205100136,5
2478,422202216,5
2589,422202580,5
795,200400004,5
2015,422207413,5
226,205100137,5
1963,422209047,4
3779,422213992,4
72,100240016,2
4397,100750038,5
4719,256700011,2
1088,422211183,5
707,100230057,5
170,100230057,5
806,100230057,5
2160,422201725,5
782,100220035,5
2793,365000020,5
361,422211446,4
765,100230059,5
701,422205164,5
1427,293500006,5
4035,365000019,5
145,205100137,5
162,422204910,5
2514,248700001,5
1057,422220606,3
2226,200500095,5
3325,223600010,2
1151,422208910,5
2415,308500009,5
1809,422206042,5
2372,204100019,5
2938,422209635,5
3477,343100029,5
308,205100146,5
710,200400003,5
2321,204100054,5
117,308500015,5
746,422216594,5
4314,308500015,2
2453,422205163,5
325,205100146,4
2197,422203146,5
1081,422211183,3
2390,422202253,5
325,422212097,4
505,422216416,5
2493,204100054,5
2327,308500009,5
788,308500013,5
704,308500037,5
183,422211447,5
262,422208807,4
114,205100136,5
3468,343100029,5
2378,308500015,5
287,422211446,5
644,100230056,5
1387,422200305,5
1722,100220035,5
2546,204100019,5
274,422210784,5
4216,422220606,3
2407,237800005,5
1795,100240016,5
3851,100140042,5
2126,422203609,5
3030,343700002,5
3342,223600034,5
2418,308500018,5
2950,200500293,5
172,422204259,5
4158,422207812,5
1579,211300002,5
3232,365000018,5
795,249500027,5
2669,243300007,2
1145,422208910,4
3687,256700002,5
804,100230056,3
1457,204100054,5
835,422214321,3
192,205100136,4
380,422208974,5
308,204900056,5
2338,422205163,5
660,100230059,5
52,422206043,5
1724,100220035,5
1604,422208181,5
765,100230056,5
129,205100137,5
236,422208807,5
121,422206648,4
4395,100750038,5
356,422208807,5
138,422216098,5
2654,224100008,5
2592,207500001,5
261,422204259,4
1034,422205162,5
2276,422208183,5
2379,308500018,5
977,422204795,2
1287,422216487,5
176,204100054,5
544,204900013,5
2884,358300001,5
334,205100137,5
1153,422208910,5
1148,422218629,5
272,205100137,5
805,308500009,5
1903,100210023,5
1281,422216603,5
2677,422203809,1
2332,422205164,5
2072,224100019,5
1371,422200305,4
1150,422205160,1
2697,422203807,5
2768,422209636,3
220,422212097,5
1110,422204657,5
107,204900004,5
117,223600010,5
972,422204795,5
2659,422204659,2
2030,399200001,5
482,204900013,5
147,422208974,5
753,200400004,3
1271,204100082,5
2420,422202253,5
2219,249500021,5
399,422208976,5
54,422214148,5
2398,422205162,5
1907,386000015,5
728,422216594,5
547,253900004,5
799,200400004,5
2671,422203776,3
2771,418800002,5
117,308500004,5
1085,422205164,5
2340,422205163,5
346,422200342,5
3582,422205805,5
783,100230064,5
640,100230064,5
2542,204100070,5
2194,249500021,4
2812,100160021,3
2693,422203807,3
1078,201600019,5
2468,422204388,5
220,422208807,5
1812,249500011,5
4174,422206042,1
294,422211446,4
2044,422203145,1
684,100230056,5
3633,343100024,5
1787,100220035,5
3169,345800001,5
688,100230059,5
2464,422205162,5
1862,422218746,3
2659,217300001,3
4049,422208345,4
1118,422203809,5
1676,318900019,5
2551,204100054,5
1427,293500043,5
642,200400004,5
1585,243300007,5
1205,249500007,5
1998,422207413,5
2364,308500013,5
359,422211446,5
1838,318900009,3
3499,422207810,5
397,422208973,5
1211,422217292,5
2546,422206537,5
655,200400004,5
414,422208975,5
2617,371600006,5
2676,422203807,4
2379,308500015,5
702,308500004,5
2138,422203617,5
305,422206648,5
1270,204900005,4
2930,422209703,5
3316,223600034,5
2381,308500015,5
484,200400004,5
423,422208976,5
715,100230059,5
2424,422205164,5
548,204000059,5
1676,318900005,5
2722,422211276,5
764,100230056,5
2466,422202253,5
1055,204900009,5
262,422201119,4
71,422216596,5
117,249500027,5
1099,422207562,5
3361,422203976,5
1524,422218099,5
707,422200236,5
574,232500014,5
1693,318900005,5
701,422205162,5
1531,200500283,5
1339,204900128,2
2381,422202253,5
182,422211446,5
108,205100137,5
164,205100136,5
363,422206648,5
141,205100137,4
2578,100230069,5
2072,245500009,5
4637,204100003,3
2938,200500095,5
1291,204900009,4
1269,204900009,5
2936,200500095,4
3684,422213312,5
2039,422203145,5
2014,422203145,5
692,422200236,5
2074,422207413,4
2307,308500037,5
4221,422212361,5
2698,422203776,5
3522,422221764,5
3361,201600019,5
1146,422218631,5
249,422208807,5
2076,345800015,5
897,422204795,5
734,422205163,5
1261,422211549,5
31,318900011,5
2669,422203776,2
1066,422205122,5
2501,204100054,5
1043,422203617,5
152,422206648,5
1833,204900010,5
16,422218746,5
708,308500018,5
699,100230064,5
2793,365000013,5
275,422206648,5
449,204900013,5
437,205100146,1
369,422211447,5
1641,422207147,5
29,318900011,5
2744,422207423,2
1599,422208181,5
1660,318900005,5
2615,204900009,2
1010,422202253,5
357,318900005,5
100,318900005,5
1030,422200236,5
2382,422202253,5
2082,422203145,5
2341,422205162,5
174,205100136,5
2366,308500037,5
3836,422212361,5
106,365000015,5
1094,422207562,5
2719,422211276,5
2649,422207812,2
2411,308500013,5
712,422206537,5
266,422211446,5
2446,308500037,5
257,422205164,5
1675,318900019,5
577,422200306,5
208,422208807,5
2270,422208183,4
422,422208977,5
1239,422222535,4
698,422205163,5
3311,422207323,5
1439,204900159,5
1881,243300007,5
1026,422206537,5
836,422210400,5
1287,204900009,5
35,200400003,5
2815,248700054,5
3908,422205162,3
2289,308500013,5
2250,245500009,4
420,422208975,3
1497,204900056,5
140,245500010,5
782,200400003,5
3752,205100136,2
270,422211447,5
808,100230056,5
1023,422205163,5
1549,422203809,5
3131,222600030,5
128,422214147,4
1157,253900004,5
2345,422206537,5
1338,422211878,5
2542,422207283,5
2038,422203145,5
226,422208807,5
508,249500007,3
1291,422204775,5
2422,422202253,5
1872,224100009,5
351,308500009,2
2370,204100054,5
1472,422210784,5
2061,422207413,1
2987,422200342,5
2436,422205162,5
1901,100210023,5
233,207500001,5
1428,293500043,5
2166,422203300,5
2444,308500013,4
349,205100146,5
2222,422207414,5
3515,232500022,5
139,418800004,5
2701,422204795,3
132,308500001,5
2773,422202632,4
2061,249500019,1
2318,422205163,5
2265,245500009,5
130,422208327,5
1382,422200306,5
2329,422206537,5
29,211300002,5
3783,422204902,4
727,100230057,5
348,308500018,5
2438,422221911,2
700,100230064,5
714,100230056,5
687,308500018,5
3326,223600034,5
696,422205164,5
788,422205163,5
75,422216594,5
129,205100146,5
126,422202362,5
2832,422202580,5
3840,226200018,5
2382,204100019,5
3205,422220080,5
3245,422204231,5
2193,308500037,5
31,207500003,5
3749,345800015,4
147,205100137,5
3148,422203506,5
274,422206648,5
1395,422200306,5
2935,422217992,5
531,422211878,5
107,422208807,4
3971,331300002,5
2317,308500013,5
340,205100137,5
2185,422209048,5
1842,224100009,5
2910,204100003,5
1223,422217292,5
2402,422205160,5
3803,422214134,5
165,293500006,5
2159,248700003,5
121,422211447,5
74,204900056,2
2652,422203807,5
